line_number,cleaned_text
1,"$2,968"
2,"$2,044"
3,"$2,984"
4,"$2,044"
5,"$2,612"
6,"$1,402"
7,"$1,856"
8,"$1,572"
9,"$$1,574"
10,"$$2,855"
11,"$2,173"
12,"$1,953"
13,"$1,572"
14,"$1,415"
15,"$1,572"
16,"$1,415"
17,"$2,306"
18,"$2,070"
19,"$2,479"
20,"$1,572"
21,"$17,229"
22,"$1,572"
23,"$17,229"
24,"$2,403"
25,$A775
26,"$1,771"
27,"$,729"
28,"$1,415"
29,"$1,907"
30,"$1,415"
31,"$2,403"
32,"$,775"
33,"$1,771"
34,"$2,189"
35,$775
36,"$2,189"
37,"$1,821"
38,"$1,817"
39,"$1,402"
40,"$12,775"
41,"$1,618"
42,"$15,774"
43,"$2,347"
44,"$1,821"
45,"$1,817"
46,Mion
47,Sep22
