line_number,cleaned_text
1,Sun
2,Aug31
3,"$3,508"
4,"$2,699"
5,"$3,756"
6,"$2,412"
7,"$3,756"
8,"$2,391"
9,"$3,491"
10,Mon
11,Sep7
12,"$1,733"
13,"$1,572"
14,"$1,911"
15,"$1,950"
16,"$2,123"
17,"$2,203"
18,"$3,676"
19,Tue
20,Sep2
21,"$2,447"
22,"$1,572"
23,"$2,447"
24,"$1,877"
25,"$3,441"
26,"$1,762"
27,"$2,729"
28,Wed
29,Sep3
30,"$1,729"
31,"$1,872"
32,"$1,911"
33,"$2,277"
34,"$3,446"
35,"$2,134"
36,"$2,826"
37,Thu
38,Sep4
39,"$1,729"
40,"$1,911"
41,"$1,911"
42,"$1,877"
43,"$2,123"
44,"$1,762"
45,"$2,826"
46,Fri
47,Sep5
48,"$1,775"
49,"$2,846"
50,"$2,290"
51,"$2,483"
52,"$3,325"
53,"$3,259"
54,"$$2,612"
55,Sat
56,Sep6
57,"$1,733"
58,"$$1,618"
59,"$1,957"
60,"$1,950"
61,"$3,482"
62,"$2,134"
63,"$2,770"
64,",OF"
65,Sun
66,Sep28
67,Mon
68,Sep29
69,Tue
70,Sep30
71,Wed
72,Oct1
73,Thu
74,Oct2
75,Oct3
76,Sat
77,Oct4
