line_number,cleaned_text
1,"$1,467"
2,"$1,918"
3,"$1,467"
4,"$1,918"
5,"$1,467"
6,"$2,188"
7,"$1,950"
8,"$1,765"
9,"$1,765"
10,"$1,765"
11,"$2,035"
12,"$1,953"
13,Tue
14,Aug26
15,"$1,995"
16,"$1,192"
17,"$1,688"
18,"$1,192"
19,"$1,688"
20,"$1,192"
21,"$1,958"
22,"$1,998"
23,"AG1,998"
24,"$1,998"
25,"$2,268"
26,"$2,268"
27,The
28,Aug28
29,"$1,192"
30,"$2,117"
31,"$1,192"
32,"$2,117"
33,"$1,192"
34,"$1,618"
35,or
36,Aug29
37,"$1,946"
38,"$1,953"
39,"$1,618"
40,"$1,953"
41,"$1,664"
42,"$$1,664"
43,"$1,946"
44,"$$1,962"
45,"$2,079"
46,"$1,618"
47,"$2,079"
48,"$1,664"
49,"$$1,664"
