line_number,cleaned_text
1,"$2,402"
2,"$2,572"
3,"$2,402"
4,"$2,152"
5,"$3,437"
6,"$2,572"
7,"$2,724"
8,"$10,907"
9,"$12,907"
10,"$10,907"
11,"$2,531"
12,"$3,284"
13,"$2,962"
14,"$2,571"
15,"$2,173"
16,"$2,297"
17,"$2,173"
18,AGVB77
19,"$3,207"
20,"$Z,1B3"
21,"$2,495"
22,"$2,482"
23,"$2,482"
24,"$2,724"
25,"$3,477"
26,"$3,491"
27,"$2,764"
28,Thu
29,Aug28
30,"$2,602"
31,"$1,572"
32,"$2,602"
33,"$,877"
34,"$2,123"
35,"$2,297"
36,"$2,884"
37,"$1,G957"
38,$$148
39,"$1,G957"
40,"$2,961"
41,"$3,002"
42,Aug2o
43,"$2,431"
44,$$148
45,"$2,717"
46,"$$2,647"
47,"$2,620"
48,"$2,999"
49,uet2
50,Sat
51,Gat4
