line_number,cleaned_text
1,Sun
2,Sep2
3,"$2,248"
4,"$2,513"
5,"$2,402"
6,"$2,348"
7,"$2,205"
8,"$2,724"
9,"$1,648"
10,$TePO
11,$I9O
12,$RAG
13,"$2,119"
14,"$2,134"
15,"$2,495"
16,"$1,820"
17,$G
18,$LO
19,"$2,038"
20,"$2,123"
21,"$2,205"
22,"$2,495"
23,$IYGO
24,$L9O7
25,"$2,034"
26,"$2,119"
27,"$2,403"
28,"$2,495"
29,$S
30,"$2,123"
31,"$2,377"
32,"$2,401"
33,Fr
34,Sepet
35,$1L862
36,$1P53
37,"$19,593"
38,"$2,080"
39,"$2,165"
40,"$2,449"
41,"$2,475"
42,Sep
43,"$2,247"
44,$LO57
45,$L9D7
46,$2OG
47,"$21,609"
48,"$2,275"
49,"$2,301"
