line_number,cleaned_text
1,$t229
2,"$2,213"
3,"$$2,249"
4,"$$2,048"
5,"$3,063"
6,"$1,205"
7,"$2,571"
8,"$t,733"
9,AGLI
10,$I
11,"AG1,950"
12,"$2,119"
13,"$2,134"
14,"$2,871"
15,$LO
16,$G
17,$LO
18,AGIB77
19,"$2,123"
20,AG1gO5
21,"$2,438"
22,Sen
23,"$2,402"
24,"$2,123"
25,"$2,402"
26,"$2,277"
27,"$2,119"
28,"$2,134"
29,"$$2,724"
30,"$1,572"
31,"$2,402"
32,$TIOS
33,"$7,262"
34,"$2,724"
35,Fr
36,Sep
37,$LYS2
38,$LGS7
39,"$2,825"
40,"$2,865"
41,Sat
42,Sep12
43,"$1,897"
44,"$2,426"
45,"$2,545"
46,"$2,113"
47,"$2,988"
48,"$2,134"
49,"$$2,723"
