line_number,cleaned_text
1,Sun
2,Aug31
3,"$$2,870"
4,"$1,727"
5,"$2,968"
6,"$1,807"
7,"$$2,870"
8,"$1,807"
9,"$3,030"
10,Mon
11,Sep1
12,"$1,572"
13,"$1,572"
14,"$1,568"
15,"$1,402"
16,"$1,907"
17,"$1,618"
18,"$1,957"
19,Tue
20,Sep2
21,"$1,572"
22,"$1,192"
23,"$1,568"
24,"$1,272"
25,"$2,192"
26,"$1,272"
27,"$2,003"
28,Wed
29,Sep3
30,"$1,572"
31,"$1,572"
32,"$1,568"
33,"$1,715"
34,"$1,729"
35,"$1,618"
36,"$1,775"
37,Thu
38,Sep4
39,"$1,729"
40,"$1,192"
41,"$1,907"
42,"$1,272"
43,"$1,729"
44,"$1,272"
45,"$1,775"
46,"$1,775"
47,"$1,806"
48,"$1,806"
49,"$$1,775"
50,"$1,775"
51,"$1,923"
52,"A31,821"
53,Sat
54,Sep6
55,"$1,618"
56,"$1,572"
57,"$1,614"
58,"$1,402"
59,"$1,775"
60,"$1,664"
61,"$1,821"
62,Sun
63,Sep14
64,Mon
65,Sep15
66,Tue
67,Sep16
68,Sep17
69,Thu
70,Sep18
71,Sep19
72,Sat
73,Sep20
