line_number,cleaned_text
1,Sur
2,Aug24
3,"$1,467"
4,"$1,918"
5,"$1,467"
6,"$1,918"
7,"$1,467"
8,"$$2,188"
9,Mon
10,Aug25
11,"$1,950"
12,"$1,765"
13,"$1,765"
14,"$1,765"
15,"$2,035"
16,"$1,953"
17,Tue
18,Aug26
19,"$1,995"
20,"$1,192"
21,"$1,688"
22,"$1,192"
23,"$1,688"
24,"$1,192"
25,"$1,958"
26,Wed
27,Aug27
28,AdZ4ie
29,aA
30,"$1,998"
31,"AG1,998"
32,"$1,998"
33,"$2,268"
34,"$2,268"
35,The
36,Aug28
37,"AQgbot,"
38,"$1,192"
39,"$2,117"
40,"$1,192"
41,"$2,117"
42,"$1,192"
43,"$1,618"
44,or
45,Aug29
46,"$1,946"
47,"$1,953"
48,"$1,618"
49,"$1,953"
50,"$1,664"
51,"$1,664"
52,"$1,946"
53,"$1,962"
54,"$2,079"
55,"$1,618"
56,"$2,079"
57,"$1,664"
58,"$1,664"
