line_number,cleaned_text
1,Sur
2,Aug31
3,"APS,508"
4,"$2,699"
5,ABRPSG
6,"$2,412"
7,ABRPSG
8,"$2,391"
9,Mar
10,Sep1
11,"$1,733"
12,"$1,572"
13,$t911
14,"$1,950"
15,"$2,123"
16,"$2,203"
17,Tue
18,Sep2
19,"$2,447"
20,$i572
21,"$2,447"
22,"$1,877"
23,AQl4s1
24,"$1,762"
25,"$2,729"
26,Wed
27,Sep3
28,"$1,729"
29,"$1,572"
30,"$19,111"
31,"$2,277"
32,"$82,134"
33,"$2,826"
34,Thu
35,Sep4
36,"$1,729"
37,"$1,911"
38,"$11,911"
39,"$1,877"
40,"$2,123"
41,"$1,762"
42,"$2,826"
43,Fri
44,Sep5
45,"$1,775"
46,"$2,846"
47,"$2,290"
48,"$2,483"
49,"$3,259"
50,"$2,612"
51,Sat
52,Sep6
53,"$1,733"
54,"$1,618"
55,"$1,957"
56,"$i,950"
57,"$2,134"
58,"$2,770"
59,",O"
60,Sur
61,Sep28
62,Mon
63,Sep2e
64,Tue
65,Sep30
66,Wed
67,Oct1
68,Thu
69,Oct2
70,Fr
71,Qct3
72,Sat
73,Oct4
