line_number,cleaned_text
1,324
2,"$1,918"
3,"$1,994"
4,"$$2,301"
5,"$2,002"
6,"$$2,301"
7,"$2,352"
8,"$$2,479"
9,"$1,765"
10,"$1,841"
11,"$1,903"
12,"$1,907"
13,"$$2,148"
14,"$2,290"
15,"$1,949"
16,"$,688"
17,"$1,736"
18,"$2,072"
19,"$1,727"
20,"$2,072"
21,"$2,077"
22,"$2,265"
23,"AGS1,998"
24,"$2,074"
25,"$2,341"
26,"$2,341"
27,"$2,341"
28,Thu
29,Aug28
30,"$1,572"
31,"$1,877"
32,"$1,572"
33,$N727
34,"$2,461"
35,"$2,077"
36,"$2,479"
37,Aug28
38,"$1,618"
39,"$2,311"
40,"$1,618"
41,"$1,957"
42,"$1,999"
43,"$1,618"
44,"$2,156"
45,"$1,618"
46,"$2,271"
47,Mion
48,Sep22
