line_number,cleaned_text
1,Sun
2,Sen14
3,"$$1,918"
4,"$1,858"
5,"$$2,301"
6,"$1,858"
7,"$$2,301"
8,$ed
9,"$1,402"
10,"$1,787"
11,"$2,288"
12,"$1,574"
13,"$2,306"
14,Toe
15,Seni
16,"$1,918"
17,"$1,787"
18,"$2,272"
19,"$1,787"
20,"$2,301"
21,"$2,318"
22,"$2,314"
23,Wed
24,Seni
25,"$1,918"
26,"$1,644"
27,"$2,301"
28,"$1,644"
29,"$2,301"
30,"$2,059"
31,Thu
32,Sep18
33,"$2,021"
34,"$1,858"
35,Fr
36,Sep
37,"$$2,164"
38,"$2,173"
39,"$1,953"
40,"$1,957"
41,"$2,218"
42,"$1,999"
43,"$2,035"
44,"$2,288"
45,"$1,574"
46,"$2,235"
47,"$2,261"
48,Sep21
49,Mon
50,Sep22
