line_number,cleaned_text
1,"$1,918"
2,"$1,467"
3,"$1,918"
4,"$1,547"
5,"$2,147"
6,"$1,547"
7,"$1,959"
8,"$1,765"
9,"$1,765"
10,"$1,765"
11,"$1,841"
12,"$1,903"
13,"$1,882"
14,"$1,806"
15,"$1,688"
16,"$1,192"
17,"$1,688"
18,"$t,272"
19,"$1,918"
20,"$t,272"
21,"$1,729"
22,"AGS1,998"
23,"$1,998"
24,"AGS1,998"
25,"$2,074"
26,"$2,115"
27,"$2,039"
28,Thu
29,Aug28
30,"$1,572"
31,"$1,192"
32,"$1,568"
33,"AGN,272"
34,"AGN,272"
35,"$2,158"
36,"$1,618"
37,"$1,618"
38,"$1,614"
39,"$1,953"
40,"$$1,664"
41,"$2,003"
42,Aug2o
43,"$1,618"
44,"$1,618"
45,"$1,614"
46,"$2,099"
47,"$1,664"
48,"$2,120"
