line_number,cleaned_text
1,"$1,918"
2,"$1,858"
3,"$$2,301"
4,"$1,858"
5,"$$2,301"
6,"$1,402"
7,"$1,787"
8,"$2,288"
9,"$$1,574"
10,"$2,306"
11,"$1,918"
12,"$1,787"
13,"$2,272"
14,"$1,787"
15,"$2,301"
16,"$2,318"
17,"$2,314"
18,"$1,918"
19,"$1,644"
20,"$2,301"
21,"$1,644"
22,"$2,301"
23,"$$2,059"
24,The
25,Sep18
26,"$2,021"
27,"$1,858"
28,"$2,273"
29,Fr
30,Sep19
31,"$2,164"
32,"$2,173"
33,"$1,953"
34,"$1,957"
35,"$2,218"
36,"$1,999"
37,"$2,035"
38,"$2,288"
39,"$15,774"
40,"$2,235"
41,"$2,261"
42,Mion
43,Sep22
