line_number,cleaned_text
1,Sur
2,Sep14
3,"$2,402"
4,"$2,402"
5,"$2,402"
6,"$2,348"
7,"$2,964"
8,"$2,205"
9,"$2,699"
10,Mon
11,Sep15
12,"$1,733"
13,"$2,339"
14,"$2,447"
15,"$1,950"
16,"$2,901"
17,"$2,134"
18,"$2,636"
19,Tue
20,Sep14
21,"$2,402"
22,"$2,442"
23,"$2,402"
24,"$2,277"
25,"$3,198"
26,"$2,134"
27,"$2,724"
28,Wed
29,Sep17
30,"$2,402"
31,"$2,299"
32,"$2,402"
33,"$2,134"
34,AGAAg7
35,"$1,991"
36,"$2,724"
37,hu
38,Sep18
39,"$2,523"
40,"$$2,513"
41,"$2,523"
42,"$2,348"
43,"$3,222"
44,"$2,205"
45,"$2,805"
46,Fr
47,Sep19
48,"$1,957"
49,"$1,957"
50,"$1,957"
51,"$2,979"
52,"$2,169"
53,"$3,020"
54,Sat
55,Sep20
56,"$1,648"
57,"$2,235"
58,"$2,717"
59,"$1,950"
60,"$2,205"
61,"$2,999"
62,Sur
63,Sep28
64,Man
65,Sep2e
66,Tue
67,Sep30
68,Wed
69,Oct
70,Thu
71,Oct2
72,Fr
73,Oct3
74,Sat
75,Oct4
