line_number,cleaned_text
1,"$2,347"
2,"$1,727"
3,"$2,347"
4,"$1,727"
5,"$2,347"
6,"$1,727"
7,"Ag1,402"
8,"$1,641"
9,"$1,907"
10,"$1,402"
11,"$1,907"
12,"$1,618"
13,"$1,618"
14,"$1,754"
15,"$1,192"
16,"$2,016"
17,"$1,192"
18,"$2,016"
19,"$1,192"
20,"$1,618"
21,"$1,900"
22,"$1,572"
23,"$1,725"
24,"$1,572"
25,"$1,907"
26,"$1,618"
27,"$1,618"
28,"$1,754"
29,"$1,192"
30,"$1,725"
31,"$1,192"
32,"$1,907"
33,"$1,192"
34,"$1,771"
35,Fr
36,Sep5
37,"$2,048"
38,"$2,064"
39,"$1,771"
40,"$1,806"
41,"$1,806"
42,"$2,076"
43,"$1,817"
44,"$2,839"
45,"$1,740"
46,"$$1,771"
47,"$1,407"
48,"$1,953"
49,"$1,664"
50,"$1,664"
51,SepiZ
52,Sav
53,Sep12
