line_number,cleaned_text
1,"$2,968"
2,"$2,044"
3,"$2,984"
4,"$2,044"
5,"$2,612"
6,"$1,402"
7,"$1,856"
8,"$1,972"
9,"$$1,574"
10,"$2,855"
11,"$2,173"
12,"$1,953"
13,"$15,972"
14,"$1,415"
15,"$15,972"
16,"$1,415"
17,"$2,306"
18,"$2,070"
19,"$2,479"
20,"$1,572"
21,"$12,729"
22,"$1,572"
23,"$12,729"
24,"$2,403"
25,$A775
26,"AG1,771"
27,"$1,415"
28,"$1,907"
29,"$1,415"
30,"$2,403"
31,wn
32,M
33,x
34,a
35,"$17,771"
36,"$2,189"
37,wn
38,NM
39,x
40,a
41,"$2,189"
42,"$1,821"
43,"$1,817"
44,"$1,402"
45,"$17,275"
46,"$1,618"
47,"$15,774"
48,"$2,347"
49,"$1,821"
50,"$1,817"
51,Sep22
