line_number,cleaned_text
1,Sur
2,Sep7
3,"$1,729"
4,"$2,213"
5,"$2,249"
6,"$2,048"
7,"$3,063"
8,"$1,905"
9,"$2,571"
10,Mon
11,Seo8
12,"$1,733"
13,$VON
14,"$1,911"
15,"$1,950"
16,"$2,119"
17,"$2,134"
18,"$2,571"
19,Tue
20,Sep9
21,"$19,141"
22,$TON
23,"$19,141"
24,"$1,877"
25,"$2,123"
26,"$1,905"
27,"$2,438"
28,"$2,402"
29,"$2,123"
30,"$2,402"
31,"$2,277"
32,"$2,119"
33,"$2,134"
34,"$2,724"
35,Thu
36,Sen1
37,"$1,729"
38,"$1,572"
39,"$2,402"
40,"$1,905"
41,"At3,437"
42,"$1,762"
43,"$2,724"
44,Fr
45,Sep12
46,"$1,775"
47,"$31,957"
48,"$$1,957"
49,"$2,825"
50,Sat
51,Sep13
52,"$$1,897"
53,"$2,426"
54,"$2,545"
55,"$2,113"
56,"$2,988"
57,"$2,134"
58,"$2,723"
59,Sur
60,Sep28
61,Man
62,Sep29
63,ue
64,Sep30
65,Wed
66,Set
67,The
68,Oct2
69,Fr
70,Geta
71,Sat
72,Oxt4
