line_number,cleaned_text
1,Sun
2,Sep21
3,"$2,248"
4,"$2,513"
5,"$2,402"
6,"$2,348"
7,EBR437
8,"$2,205"
9,"$2,724"
10,Mon
11,Sep22
12,"$1,648"
13,"$1,907"
14,"$1,907"
15,"$1,866"
16,"$2,119"
17,"$2,134"
18,"$2,495"
19,"$1,820"
20,"$T,914"
21,"$t,911"
22,"$2,038"
23,"$2,123"
24,"$2,205"
25,"$2,495"
26,Wed
27,Sep24
28,"$1,816"
29,"$1,907"
30,"$1,907"
31,"$2,034"
32,"$2,119"
33,"$2,403"
34,"$2,495"
35,hu
36,Sep25
37,"$1,788"
38,"$1,911"
39,"$19,191"
40,"$1,957"
41,"$2,123"
42,"$2,377"
43,"$$2,401"
44,Fr
45,Sep26
46,"$1,862"
47,"$1,953"
48,"$1,953"
49,"$2,080"
50,"$2,165"
51,"$2,449"
52,"$2,475"
53,Sat
54,Sep27
55,"$2,247"
56,"$1,957"
57,"$1,957"
58,"$1,906"
59,"$2,169"
60,"$2,275"
61,"$2,301"
62,Sur
63,Sep28
64,Man
65,Sep29
66,Tue
67,Sep30
68,Oct2
69,Sat
70,Oct4
