line_number,cleaned_text
1,Sur
2,Sep14
3,"$1,918"
4,"$1,858"
5,"$$2,301"
6,"$1,858"
7,"$$2,301"
8,"AgZ,44a3"
9,Mar
10,Sep15
11,"$1,402"
12,"$1,787"
13,"$2,288"
14,"$1,574"
15,"$2,306"
16,AGZade
17,Tue
18,Sep14
19,"$1,918"
20,"$1,787"
21,"$2,272"
22,"$1,787"
23,"$2,301"
24,"$2,318"
25,"$2,314"
26,Wed
27,Sep17
28,"$1,918"
29,"$1,644"
30,"$2,301"
31,"$1,644"
32,"$2,301"
33,"$2,059"
34,AGZS45
35,Thu
36,Sep18
37,"$2,021"
38,"$1,858"
39,Fri
40,Sep
41,"$2,164"
42,"$2,173"
43,"$1,953"
44,"$1,957"
45,"$2,218"
46,"$1,999"
47,"$$2,035"
48,"$2,288"
49,"$1,574"
50,"ADZ,285"
51,"$2,235"
52,"$2,261"
53,Sun
54,Sep21
55,Mon
56,Sep22
57,Tue
58,Sep23
59,Wed
60,Sep24
61,Thu
62,Sep25
63,Fri
64,Sep26
65,Sat
66,Sep27
