line_number,cleaned_text
1,Sur
2,Aug24
3,AGZ29e
4,"$1,467"
5,"$1,918"
6,"$1,467"
7,"$1,918"
8,"$1,467"
9,"$2,188"
10,Mon
11,ug25
12,"$1,950"
13,Ate
14,"$1,765"
15,"$1,765"
16,"$1,765"
17,"$2,035"
18,"$1,953"
19,Tue
20,Aug26
21,"$11,995"
22,"$1,192"
23,"$1,688"
24,"$1,192"
25,"$1,688"
26,"$1,192"
27,"$1,958"
28,"$1,998"
29,"$1,998"
30,"$1,998"
31,"$2,268"
32,"$2,268"
33,"$1,192"
34,"$2,117"
35,"$1,192"
36,"$2,117"
37,"$1,192"
38,"$1,618"
39,Fr
40,Aug29
41,"$1,946"
42,"$1,953"
43,"$1,618"
44,"$1,953"
45,"$1,664"
46,"$1,664"
47,Sat
48,Aug30
49,"$1,946"
50,"$i,962"
51,"$2,079"
52,"$1,618"
53,"$2,079"
54,"$1,664"
55,"$$1,664"
56,Sur
57,Sep7
58,Mon
59,Sep8
60,Tue
61,Sep2
62,Wed
63,Sepa
64,Thu
65,Sep11
66,Fr
67,Sep12Z
68,Sep13
