line_number,cleaned_text
1,Sun
2,Sep14
3,"$1,918"
4,"$1,858"
5,"$$2,301"
6,"$1,858"
7,"$$2,301"
8,"Ag2,d4d3"
9,"$Z,495"
10,Man
11,Sep15
12,"$1,402"
13,"$1,787"
14,"$22,883"
15,"$1,574"
16,"$2,306"
17,"$2,d4z"
18,$2Ag5
19,Tue
20,Sep16
21,"$1,918"
22,"$1,787"
23,"$2,272"
24,"$1,787"
25,"$2,301"
26,"$2,318"
27,"$2,314"
28,Wed
29,Sep17
30,"$1,918"
31,"$1,644"
32,"$2,301"
33,"$1,644"
34,"$2,301"
35,"$2,059"
36,"$2,495"
37,Thu
38,Sep18
39,"$2,021"
40,"$1,858"
41,"$Z,401"
42,"$1,858"
43,"$Z,401"
44,"$2,273"
45,Fri
46,Sep19
47,"$2,164"
48,"$2,173"
49,"$1,953"
50,"$1,957"
51,"$Z,597"
52,"$$2,218"
53,"$$1,999"
54,Sat
55,Sep20
56,$ZA76
57,"$2,035"
58,"$2,288"
59,"$1,574"
60,"AbzZ,3,385"
61,"$2,235"
62,"$2,261"
63,Sun
64,Sep21
65,Mon
66,Sep22
67,Tue
68,Sep23
69,Wed
70,Sep24
71,Thu
72,Sep25
73,Sep26
74,Sat
75,Sep27
