line_number,cleaned_text
1,Sun
2,Aug31
3,"$2,347"
4,"$1,727"
5,"$2,347"
6,"$1,727"
7,"$2,347"
8,"$1,727"
9,"$2,916"
10,Mon
11,Sep1
12,"$1,402"
13,"$1,641"
14,"$1,907"
15,"$1,402"
16,"$1,907"
17,"$1,618"
18,"$1,618"
19,Tue
20,Sep2
21,"$1,754"
22,"$1,192"
23,"$2,016"
24,"$1,192"
25,"$2,016"
26,"$1,192"
27,"$1,618"
28,Wed
29,Sep3
30,"$1,900"
31,"$1,572"
32,"$1,725"
33,"$1,572"
34,"$1,907"
35,"$1,618"
36,"$$1,618"
37,Thu
38,Sep4
39,"$1,754"
40,"$1,192"
41,"$1,725"
42,"$1,192"
43,"$1,907"
44,"$1,192"
45,"$1,771"
46,"$2,048"
47,"$2,064"
48,"$1,771"
49,"$1,806"
50,"$1,806"
51,"$2,076"
52,"$1,817"
53,Sat
54,Sep6
55,"$2,539"
56,"$1,740"
57,"$1,771"
58,"$1,402"
59,"$1,953"
60,"$1,664"
61,"$1,664"
62,Sun
63,Sep7
64,Mon
65,Sep8
66,Tue
67,Sep9
68,Sep10
69,Thu
70,Sep11
71,Sep12
72,Sat
73,Sep13
