line_number,cleaned_text
1,"$1,729"
2,"$$2,148"
3,"$1,775"
4,"$1,771"
5,"$$1,402"
6,"$1,787"
7,"$1,907"
8,$t574
9,"$$2,148"
10,"$2,169"
11,"$1,953"
12,"$1,765"
13,$I
14,"$1,907"
15,"$15,556"
16,"$2,148"
17,"$2,077"
18,"$1,953"
19,"$1,918"
20,"$$1,787"
21,"$2,268"
22,"$$1,787"
23,"$2,301"
24,"$2,169"
25,"$2,310"
26,$t415
27,$572
28,$t415
29,"$2,301"
30,"$1,775"
31,"$1,771"
32,Fr
33,Sep1z
34,"$1,775"
35,"$1,775"
36,"$1,953"
37,"$1,775"
38,"$1,821"
39,"$1,817"
40,"$1,787"
41,"$1,737"
42,Sep22
43,Sep23
