line_number,cleaned_text
1,Mar
2,Sep1
3,"$1,572"
4,"$1,572"
5,"$1,568"
6,"$1,402"
7,"$1,907"
8,"$1,618"
9,"$1,957"
10,Tue
11,Sep2
12,"$1,572"
13,"$1,192"
14,"$1,568"
15,"$1,272"
16,"$2,192"
17,"$1,272"
18,"$2,003"
19,Wed
20,Sep3
21,"$1,572"
22,"$1,872"
23,"$1,568"
24,"$1,715"
25,"$1,729"
26,"$1,618"
27,"$1,775"
28,Thu
29,Sep4
30,"$1,729"
31,"$1,192"
32,"$1,907"
33,"$1,272"
34,"$1,729"
35,"$1,272"
36,"$1,775"
37,Fri
38,Sep5
39,"$1,775"
40,"$1,806"
41,"$1,806"
42,"$1,775"
43,"$1,775"
44,"$1,923"
45,"$1,821"
46,Sat
47,Sep6
48,"$1,618"
49,"$1,572"
50,"$1,614"
51,"$1,402"
52,"$1,775"
53,"$1,664"
54,"$1,821"
55,",O"
56,Sun
57,Sep16
58,Mon
59,Sep15
60,Tue
61,Sep16
62,Wed
63,Sep17
64,Thu
65,Sep18
66,Fri
67,Sep1e
68,Sat
69,Sep20
