line_number,cleaned_text
1,Sun
2,Aug24
3,"$1,918"
4,"$1,467"
5,"$1,918"
6,"$1,547"
7,"$2,147"
8,"$1,547"
9,"$1,959"
10,Mon
11,Aug25
12,"$1,765"
13,"$1,765"
14,"$1,765"
15,"$1,841"
16,"$1,903"
17,"$1,882"
18,"$1,806"
19,Tue
20,Aug26
21,"$1,688"
22,"$1,192"
23,"$1,688"
24,"$1,272"
25,"$1,918"
26,"$1,272"
27,"$1,729"
28,Wed
29,Aug27
30,"$1,998"
31,"$1,998"
32,"$1,998"
33,"$2,074"
34,ARL222
35,"$2,115"
36,"$2,039"
37,Thu
38,Aug28
39,"$1,572"
40,"$1,192"
41,"$1,568"
42,"$1,272"
43,"$1,272"
44,"$2,158"
45,Fr
46,Aug29
47,"$1,618"
48,"$1,618"
49,"$1,614"
50,"$1,953"
51,"$1,664"
52,"$2,003"
53,"$1,618"
54,"$1,614"
55,"$2,099"
56,ALZt62
57,"$1,664"
58,"$2,120"
59,Man
60,Sep18
61,Tue
62,Sep16
63,Ned
64,Sep17
65,The
66,Sep18
67,Fr
68,Sep1y
69,Sat
70,Sep201
