line_number,cleaned_text
1,Sur
2,Sep7
3,"$1,729"
4,"$2,213"
5,"$2,249"
6,"$2,048"
7,"$3,063"
8,"$1,905"
9,"$2,571"
10,"$1,733"
11,$IN
12,"$1,911"
13,"$1,950"
14,"$2,119"
15,"$2,134"
16,"$2,571"
17,Toe
18,Sep
19,"$1,9N"
20,"$1,911"
21,"$1,9N"
22,"$1,B77"
23,"$2,123"
24,"$1,905"
25,"$2,438"
26,"$2,402"
27,"$2,123"
28,"$2,402"
29,"$2,277"
30,"$2,119"
31,"$2,134"
32,"$2,724"
33,"$,729"
34,"$1,572"
35,"$$2,402"
36,"$1,905"
37,"$17,762"
38,"$2,724"
39,Fr
40,Sep12
41,$775
42,"$1,957"
43,"$19,597"
44,"$2,825"
45,"$2,865"
46,S
47,Sep13
48,"$1,897"
49,"$2,426"
50,"$2,545"
51,"$2,113"
52,"$2,988"
53,"$2,134"
54,"$2,723"
55,Mion
56,Sep2F
