line_number,cleaned_text
1,"$$1,729"
2,"$2,213"
3,"$2,249"
4,"$2,048"
5,"$3,063"
6,"$1,905"
7,"$2,571"
8,"$1,733"
9,$IIN
10,$T9N
11,"$1,950"
12,"$2,119"
13,"$2,134"
14,"$2,571"
15,Toe
16,Sep9
17,"$$1,9N1"
18,$I9N
19,"$$1,9N1"
20,$1B77
21,"$2,123"
22,"$1,905"
23,"$2,438"
24,"$2,402"
25,"$2,123"
26,"$2,402"
27,"$2,277"
28,"$2,119"
29,"$2,134"
30,"$2,724"
31,"$,729"
32,"$1,572"
33,"$2,402"
34,"$1,905"
35,"$$1,762"
36,"$2,724"
37,Fr
38,Sep12
39,"$72,775"
40,"$1,957"
41,"$19,597"
42,"$2,825"
43,"$2,865"
44,s
45,Sep13
46,"$1,897"
47,"$2,426"
48,"$2,545"
49,"$2,113"
50,"$2,988"
51,"$2,134"
52,"$2,723"
53,Mion
54,Sep2F
55,etd
56,Sav
57,Oat4
