line_number,cleaned_text
1,Sur
2,Augd4
3,"$1,918"
4,"$1,994"
5,"$$2,301"
6,"$2,002"
7,"$$2,301"
8,"$2,352"
9,"$2,479"
10,"$1,765"
11,"$1,841"
12,"$1,903"
13,"$1,907"
14,"$2,148"
15,"$2,290"
16,"$1,949"
17,"$1,736"
18,"$2,072"
19,"$1,727"
20,"$2,072"
21,"$2,077"
22,"$2,265"
23,"$19,983"
24,"$2,074"
25,"$2,341"
26,"$2,341"
27,"$2,341"
28,Thu
29,Aug28
30,"$1,572"
31,"$1,877"
32,"$1,572"
33,$N727
34,"$2,461"
35,"$2,077"
36,"$2,479"
37,Aug29
38,"$1,618"
39,"$2,311"
40,"$1,618"
41,"$1,957"
42,"$1,999"
43,"$1,618"
44,"$2,156"
45,"$1,618"
46,"$2,271"
47,Sep22
