line_number,cleaned_text
1,"$2,148"
2,"$1,775"
3,"$1,771"
4,"$1,402"
5,"$1,787"
6,"$1,907"
7,"$$1,574"
8,"$$2,148"
9,"$2,169"
10,"$1,953"
11,Toe
12,Sep
13,"$1,765"
14,"$15,586"
15,"$1,907"
16,"$15,586"
17,"$2,148"
18,"$2,077"
19,"$1,953"
20,"$1,918"
21,"$$1,787"
22,"$2,268"
23,"$$1,787"
24,"$2,301"
25,"$2,169"
26,"$2,310"
27,"$1,415"
28,"$,b72"
29,"$1,415"
30,"$2,301"
31,"$1,775"
32,"$1,771"
33,Fr
34,Sep12
35,"$1,775"
36,"$1,775"
37,"$1,953"
38,"$1,775"
39,"$1,821"
40,"$1,817"
41,S
42,Sep13
43,"$1,565"
44,"$1,787"
45,"$1,737"
46,Sep22
