line_number,cleaned_text
1,Sur
2,Sep7
3,"$1,729"
4,"$1,343"
5,"$$1,765"
6,"$1,486"
7,"$1,729"
8,"$1,547"
9,"$1,775"
10,Mon
11,Seo8
12,"$1,633"
13,"$1,572"
14,"$1,765"
15,"$1,402"
16,"$$1,907"
17,"$1,812"
18,"$1,806"
19,Tue
20,Sep9
21,"$1,663"
22,"41,192"
23,"$1,765"
24,"$1,272"
25,"$1,907"
26,"$1,272"
27,"$1,806"
28,"$1,918"
29,"$1,572"
30,"$1,918"
31,"$1,715"
32,$Z147
33,"$1,715"
34,"$1,959"
35,Thu
36,Sen1
37,"$1,704"
38,"$1,200"
39,"$1,568"
40,"$1,343"
41,"$1,729"
42,"$1,343"
43,"$1,775"
44,Fr
45,Sep12
46,"$19,857"
47,"$1,957"
48,"$1,953"
49,"$1,775"
50,"$1,775"
51,Ade17H
52,"$1,821"
53,Sat
54,Sep13
55,$E0S3
56,"$1,724"
57,ABest
58,"$1,565"
59,Age241
60,"$1,715"
61,Agg11
62,Man
63,Sep18
64,Tue
65,Sep16
66,Wed
67,Sepi7
68,The
69,Sep18
70,Fr
71,Sep1y
72,Sat
73,Sep20
