line_number,cleaned_text
1,"$$2,148"
2,"$1,775"
3,"$1,771"
4,"$1,402"
5,"$1,787"
6,"$1,907"
7,"AG1,S74"
8,"$2,148"
9,"$2,169"
10,"$1,953"
11,Toe
12,Sep
13,"$1,765"
14,"$1,907"
15,"$1,558"
16,"$2,148"
17,"$2,077"
18,"$1,953"
19,"$1,787"
20,"$2,268"
21,"$1,787"
22,"$2,301"
23,"$2,169"
24,"$2,310"
25,"$,572"
26,"$1,415"
27,"$,572"
28,"$1,415"
29,"$2,301"
30,"$1,775"
31,"$1,771"
32,Fr
33,Sep12
34,"$1,775"
35,"$1,775"
36,"$1,953"
37,"$1,775"
38,"$1,821"
39,"$1,817"
40,S
41,Sep13
42,"$1,565"
43,"$1,787"
44,Sep22
