line_number,cleaned_text
1,Sur
2,Aug
3,"$2,347"
4,"$1,727"
5,"$2,347"
6,"$1,727"
7,"$2,347"
8,"$1,727"
9,"$1,402"
10,"$1,641"
11,"$$1,907"
12,"$1,402"
13,"$$1,907"
14,"$1,618"
15,"$1,618"
16,"$1,754"
17,"$1,192"
18,"$2,016"
19,"$1,192"
20,"$2,016"
21,"$1,192"
22,"$1,618"
23,"$1,900"
24,"$1,572"
25,"$1,725"
26,"$1,572"
27,"$1,907"
28,"$1,618"
29,"$1,618"
30,The
31,Sep4
32,"$1,754"
33,"$1,192"
34,"$1,725"
35,"$1,192"
36,"$1,907"
37,"$1,192"
38,"$1,771"
39,Fr
40,Sep
41,"$2,048"
42,"$2,064"
43,"$$1,771"
44,"$1,806"
45,"$1,806"
46,"$2,076"
47,"$1,817"
48,"$2,839"
49,"$1,740"
50,"$1,771"
51,"$1,407"
52,"$1,953"
53,"$1,664"
54,"$1,664"
55,Mon
56,Sepa
