line_number,cleaned_text
1,Sun
2,Sep7
3,"$1,729"
4,"$1,343"
5,"$1,765"
6,"$1,486"
7,"$1,729"
8,"$1,547"
9,"$1,775"
10,Mon
11,Sep8
12,"$1,633"
13,"$1,572"
14,"$1,765"
15,"$1,402"
16,"$1,907"
17,"$1,812"
18,"$1,806"
19,Tue
20,Sep
21,"$$1,663"
22,"$1,192"
23,"$1,765"
24,"$1,272"
25,"$1,907"
26,"$1,272"
27,"$$1,806"
28,Wed
29,Sep10
30,"$1,918"
31,"$1,572"
32,"$1,918"
33,"$1,715"
34,"$2,147"
35,"$1,715"
36,"$1,959"
37,Thu
38,Sepl
39,"$1,704"
40,"$1,200"
41,"$1,568"
42,"$1,343"
43,"$1,729"
44,"$1,343"
45,"$1,775,"
46,Fri
47,Sep12
48,"$1,957"
49,"$1,957"
50,"$1,953"
51,"$1,775"
52,"$1,775"
53,"$2,178"
54,"$1,821"
55,Sat
56,Sep13
57,"$$2,093"
58,"$1,724"
59,"$2,060"
60,"$1,565"
61,"$2,241"
62,"$1,715"
63,"$2,101"
64,",O"
65,Sun
66,Sep14
67,Mon
68,Sep15
69,Tue
70,Sep16
71,Wed
72,Sep17
73,Thu
74,Sep18
75,Sep19
76,Sat
77,Sep20
