line_number,cleaned_text
1,Sur
2,Aug
3,AGZS04
4,"$2,699"
5,AGBFS4
6,"$2,412"
7,AGBFS4
8,"$2,391"
9,Mon
10,Sep1
11,"$1,733"
12,"$1,572"
13,$t0n
14,"$1,950"
15,"$2,123"
16,"$2,203"
17,"$2,447"
18,$i572
19,"$2,447"
20,"$1,877"
21,APLAs1
22,"$1,762"
23,"$2,729"
24,Wed
25,Sep3
26,"$1,729"
27,"$1,572"
28,"$19,111"
29,"$2,277"
30,"$2,134"
31,"$2,826"
32,hu
33,Sep4
34,"$1,729"
35,"$1,911"
36,"$19,191"
37,"$1,877"
38,"$2,123"
39,"$1,762"
40,"$2,826"
41,Fr
42,Sep5
43,"$1,775"
44,"$2,846"
45,"$2,290"
46,"$2,483"
47,"$3,259"
48,"$2,612"
49,Sat
50,Sep6
51,"$1,733"
52,"$1,618"
53,"$1,957"
54,"$1,950"
55,"$2,134"
56,"$2,770"
57,Sur
58,Sep28
59,Man
60,Sep29
61,Tue
62,Sep30
63,Oct2
64,Sat
65,Oct4
